OBJECTID,GEOID10,WCCDistrict,DPDPrecinct,DETCouncilDist
658,26125144900,,,
659,26125145100,,,
660,26125145200,,,
661,26035000800,,,
662,26035000600,,,
663,26161400100,,,
664,26161400200,,,
665,26161400300,,,
666,26161400400,,,
667,26161400500,,,
668,26161400600,,,
669,26161444000,,,
670,26161400700,,,
671,26161400800,,,
672,26161402100,,,
673,26161402200,,,
674,26161402300,,,
675,26161403600,,,
676,26161402500,,,
677,26161402600,,,
678,26161402700,,,
679,26161407400,,,
703,26025001700,,,
704,26025001800,,,
705,26025001900,,,
706,26025002200,,,
707,26025002300,,,
708,26025002500,,,
709,26025002600,,,
710,26025002400,,,
711,26025003700,,,
712,26025003000,,,
713,26025004000,,,
714,26019000100,,,
715,26019000200,,,
716,26019000300,,,
717,26019000500,,,
718,26019000400,,,
749,26025002000,,,
750,26025002100,,,
751,26025002900,,,
752,26025003100,,,
753,26025002700,,,
754,26025003800,,,
787,26025003900,,,
788,26025004100,,,
797,26099241900,,,
798,26099225500,,,
799,26099225600,,,
800,26099225800,,,
801,26099225900,,,
802,26099232500,,,
803,26099230000,,,
804,26099233000,,,
805,26113960400,,,
806,26113960100,,,
807,26113960200,,,
808,26113960300,,,
809,26081001600,,,
810,26081001700,,,
811,26081001800,,,
812,26081001900,,,
813,26081002000,,,
814,26081002100,,,
815,26081002600,,,
816,26081002700,,,
817,26081002800,,,
818,26081012604,,,
819,26081002900,,,
820,26081003000,,,
821,26081003100,,,
822,26081003200,,,
823,26081003300,,,
824,26081003500,,,
825,26155030300,,,
826,26155030400,,,
827,26155030500,,,
828,26155030600,,,
829,26155030700,,,
830,26155030800,,,
831,26155031500,,,
832,26147651200,,,
833,26077001300,,,
834,26077005501,,,
835,26077005502,,,
836,26077001501,,,
837,26097950100,,,
838,26097950200,,,
839,26097950300,,,
840,26097950400,,,
841,26097950500,,,
842,26077001504,,,
843,26077001506,,,
844,26077001507,,,
845,26077001601,,,
846,26077001603,,,
847,26077001604,,,
848,26077001701,,,
849,26077001702,,,
850,26145001200,,,
851,26145001300,,,
852,26145001400,,,
853,26145001500,,,
854,26145001600,,,
855,26145001700,,,
856,26125120000,,,
857,26125132600,,,
858,26125132100,,,
859,26125139400,,,
860,26125127000,,,
861,26125127100,,,
862,26125127200,,,
863,26125127300,,,
864,26125128800,,,
865,26125158000,,,
866,26125160500,,,
867,26125160600,,,
895,26123970400,,,
896,26123971100,,,
897,26123971200,,,
898,26123970100,,,
899,26123970700,,,
900,26123970800,,,
901,26123970600,,,
902,26123970900,,,
903,26123971000,,,
904,26123970300,,,
905,26123970500,,,
906,26069000300,,,
907,26069000800,,,
908,26069000600,,,
909,26069000400,,,
910,26069000500,,,
911,26069000700,,,
912,26069000900,,,
913,26069000200,,,
914,26069000100,,,
915,26111291700,,,
953,26053950300,,,
954,26053950100,,,
955,26053950200,,,
956,26053950400,,,
957,26053950700,,,
958,26053950500,,,
959,26053950600,,,
960,26111291400,,,
961,26111291200,,,
962,26111291300,,,
963,26111290600,,,
964,26111291102,,,
994,26111291500,,,
995,26111290100,,,
996,26111291101,,,
997,26111290200,,,
998,26111290300,,,
999,26111290400,,,
1023,26045020403,,,
1024,26045020601,,,
1025,26045021001,,,
1026,26051000800,,,
1027,26051000300,,,
1028,26051000900,,,
1029,26051000600,,,
1030,26051000200,,,
1031,26051000700,,,
1032,26051000500,,,
1033,26147651600,,,
1034,26147658500,,,
1035,26147632000,,,
1036,26147646000,,,
1037,26147649000,,,
1038,26099258500,,,
1039,26099221500,,,
1040,26099258600,,,
1041,26099258700,,,
1042,26099258800,,,
1043,26099258900,,,
1044,26099254000,,,
1045,26099254100,,,
1046,26099254200,,,
1047,26099247100,,,
1048,26099254500,,,
1049,26099225702,,,
1050,26099230602,,,
1051,26099230601,,,
1052,26099225701,,,
1053,26099222101,,,
1054,26099268200,,,
1055,26099268400,,,
1056,26099268300,,,
1057,26081011702,,,
1058,26081010904,,,
1059,26081010902,,,
1060,26081012203,,,
1061,26045021301,,,
1062,26045021201,,,
1063,26045020303,,,
1064,26051000100,,,
1065,26051000400,,,
1066,26147634100,,,
1067,26147652600,,,
1068,26147641000,,,
1069,26147633200,,,
1070,26147650100,,,
1071,26147647000,,,
1072,26099224100,,,
1073,26099245400,,,
1074,26099224200,,,
1075,26099216000,,,
1076,26099211000,,,
1077,26099255000,,,
1078,26099255100,,,
1079,26099255200,,,
1080,26099255300,,,
1081,26099255400,,,
1082,26099255500,,,
1083,26153000100,,,
1084,26153000200,,,
1085,26153000300,,,
1086,26081012201,,,
1087,26081012202,,,
1088,26081010200,,,
1089,26081010700,,,
1090,26081010801,,,
1091,26147648000,,,
1092,26147633100,,,
1093,26147640600,,,
1094,26147644000,,,
1095,26147645000,,,
1096,26147643000,,,
1097,26099255600,,,
1098,26099243500,,,
1099,26099255700,,,
1100,26099255800,,,
1101,26099224300,,,
1102,26099255900,,,
1103,26099256000,,,
1104,26099256100,,,
1105,26099256200,,,
1106,26099256300,,,
1107,26099222800,,,
1108,26099256400,,,
1109,26099256500,,,
1110,26081010802,,,
1111,26081003400,,,
1112,26081004400,,,
1113,26081012300,,,
1114,26081012400,,,
1115,26081012500,,,
1116,26081014806,,,
1117,26081014804,,,
1118,26063951000,,,
1119,26063951100,,,
1120,26063950900,,,
1121,26063950600,,,
1122,26027001500,,,
1123,26027001100,,,
1124,26027001200,,,
1125,26027001000,,,
1126,26027001700,,,
1127,26147629000,,,
1128,26147630400,,,
1129,26147657100,,,
1130,26147652100,,,
1131,26147634600,,,
1132,26147655600,,,
1133,26099256600,,,
1134,26099256700,,,
1135,26099256800,,,
1136,26099250300,,,
1137,26099250400,,,
1138,26099250500,,,
1139,26099250800,,,
1140,26099250900,,,
1141,26099251300,,,
1142,26099251400,,,
1143,26099251500,,,
1144,26099251800,,,
1145,26099251900,,,
1146,26137950200,,,
1147,26137950300,,,
1148,26137950400,,,
1149,26137950500,,,
1150,26137950600,,,
1151,26081014803,,,
1152,26081014805,,,
1153,26081000100,,,
1154,26081000200,,,
1155,26081000300,,,
1156,26081000400,,,
1157,26081000500,,,
1158,26081000600,,,
1159,26081000700,,,
1160,26063950100,,,
1161,26063950200,,,
1162,26063950300,,,
1163,26063950400,,,
1164,26063950500,,,
1165,26027002000,,,
1166,26027001900,,,
1167,26027002100,,,
1168,26027002200,,,
1169,26027001800,,,
1170,26027001600,,,
1171,26155031401,,,
1172,26155031600,,,
1173,26155031700,,,
1174,26155031402,,,
1175,26155031800,,,
1176,26155031900,,,
1177,26147637200,,,
1178,26147637300,,,
1179,26147640200,,,
1180,26147620000,,,
1181,26147621000,,,
1182,26147622000,,,
1183,26147623000,,,
1184,26147624000,,,
1185,26147625000,,,
1186,26099224500,,,
1187,26099252000,,,
1188,26099252100,,,
1189,26099252200,,,
1190,26099225100,,,
1191,26099225200,,,
1192,26099225300,,,
1193,26099226100,,,
1194,26099225400,,,
1195,26137950100,,,
1196,26081000800,,,
1197,26081011101,,,
1198,26081000900,,,
1199,26081001000,,,
1200,26081001101,,,
1201,26081001102,,,
1202,26081001200,,,
1203,26081001300,,,
1204,26081001400,,,
1205,26081001500,,,
1206,26155030200,,,
1207,26155030100,,,
1208,26155031302,,,
1209,26155031301,,,
1210,26071000200,,,
1211,26071000400,,,
1212,26071000100,,,
1213,26071000500,,,
1214,26071000300,,,
1215,26147626000,,,
1216,26147627000,,,
1217,26147628000,,,
1218,26147636000,,,
1219,26147635000,,,
1220,26147642000,,,
1221,26147640100,,,
1222,26081002200,,,
1223,26081002300,,,
1224,26081002400,,,
1225,26147655100,,,
1226,26147631100,,,
1227,26147631600,,,
1228,26147630100,,,
1229,26147657200,,,
1230,26147637100,,,
1231,26147651100,,,
1232,26099230200,,,
1233,26099230300,,,
1234,26099230400,,,
1235,26099230500,,,
1236,26099230700,,,
